Date,High,Low,Commodity
3 08 2024,60,57,COMMERCIAL (LOCAL) Special (Blue tagged)
5 08 2024,65,53,COMMERCIAL (LOCAL) Special (Blue tagged)
6 08 2024,65,53,COMMERCIAL (LOCAL) Special (Blue tagged)
7 08 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
8 08 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
9 08 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
10 08 2024,63,58,COMMERCIAL (LOCAL) Special (Blue tagged)
12 08 2024,65,53,COMMERCIAL (LOCAL) Special (Blue tagged)
13 08 2024,65,53,COMMERCIAL (LOCAL) Special (Blue tagged)
14 08 2024,65,53,COMMERCIAL (LOCAL) Special (Blue tagged)
15 08 2024,65,53,COMMERCIAL (LOCAL) Special (Blue tagged)
16 08 2024,65,53,COMMERCIAL (LOCAL) Special (Blue tagged)
17 08 2024,65,53,COMMERCIAL (LOCAL) Special (Blue tagged)
20 08 2024,62,60,COMMERCIAL (LOCAL) Special (Blue tagged)
21 08 2024,62,62,COMMERCIAL (LOCAL) Special (Blue tagged)
29 08 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
30 08 2024,65,54,COMMERCIAL (LOCAL) Special (Blue tagged)
