Date,Low,High,Commodity
2023-09-20,280,300,Alumahan
2023-09-21,250,300,Alumahan
2023-09-22,240,300,Alumahan
2023-09-25,300,300,Alumahan
2023-09-26,260,300,Alumahan
2023-09-27,260,320,Alumahan
2023-09-28,280,300,Alumahan
2023-09-29,300,300,Alumahan
2023-10-02,300,320,Alumahan
2023-10-03,300,300,Alumahan
2023-10-04,360,360,Alumahan
2023-10-05,300,360,Alumahan
2023-10-06,300,360,Alumahan
2023-10-09,280,360,Alumahan
2023-10-10,300,360,Alumahan
2023-10-11,300,300,Alumahan
2023-10-12,300,320,Alumahan
2023-10-13,300,360,Alumahan
2023-10-16,280,360,Alumahan
2023-10-17,300,300,Alumahan
2023-10-18,280,360,Alumahan
2023-10-19,300,360,Alumahan
2023-10-20,300,320,Alumahan
2023-10-23,300,300,Alumahan
2023-10-24,300,300,Alumahan
2023-10-25,300,360,Alumahan
2023-10-26,300,360,Alumahan
2023-10-27,300,360,Alumahan
2023-10-30,300,360,Alumahan
2023-10-31,300,360,Alumahan
2023-11-02,280,400,Alumahan
2023-11-03,300,360,Alumahan
2023-11-06,180,360,Alumahan
2023-11-07,240,360,Alumahan
2023-11-08,200,350,Alumahan
2023-11-09,240,360,Alumahan
2023-11-10,240,360,Alumahan
2023-11-13,240,360,Alumahan
2023-11-14,240,380,Alumahan
2023-11-15,240,340,Alumahan
2023-11-16,240,340,Alumahan
2023-11-17,240,360,Alumahan
2023-11-20,260,400,Alumahan
2023-11-21,240,380,Alumahan
2023-11-22,240,380,Alumahan
2023-11-23,240,380,Alumahan
2023-11-24,200,400,Alumahan
2023-11-27,240,360,Alumahan
2023-11-28,240,360,Alumahan
2023-11-29,240,360,Alumahan
2023-11-30,240,360,Alumahan
2023-12-01,200,360,Alumahan
2023-12-04,260,380,Alumahan
2023-12-05,260,380,Alumahan
2023-12-06,260,380,Alumahan
2023-12-07,260,380,Alumahan
2023-12-08,250,380,Alumahan
2023-12-11,240,380,Alumahan
2023-12-12,260,380,Alumahan
2023-12-13,230,380,Alumahan
2023-12-14,200,380,Alumahan
2023-12-15,260,360,Alumahan
2023-12-18,240,380,Alumahan
2023-12-19,240,380,Alumahan
2023-12-20,240,390,Alumahan
2023-12-21,200,380,Alumahan
2023-12-22,240,380,Alumahan
2023-12-26,250,380,Alumahan
2023-12-27,250,400,Alumahan
2023-12-28,280,400,Alumahan
2023-12-29,260,400,Alumahan
2024-01-02,280,400,Alumahan
2024-01-03,280,360,Alumahan
2024-01-04,280,360,Alumahan
2024-01-05,280,400,Alumahan
2024-01-08,280,400,Alumahan
2024-01-09,220,400,Alumahan
2024-01-10,280,360,Alumahan
2024-01-11,280,400,Alumahan
2024-01-12,280,360,Alumahan
2024-01-15,280,360,Alumahan
2024-01-16,280,360,Alumahan
2024-01-17,280,380,Alumahan
2024-01-18,240,380,Alumahan
2024-01-19,280,380,Alumahan
2024-01-22,260,380,Alumahan
2024-01-23,260,380,Alumahan
2024-01-24,280,380,Alumahan
2024-01-25,280,380,Alumahan
2024-01-26,280,360,Alumahan
2024-01-29,300,360,Alumahan
2024-01-30,300,400,Alumahan
2024-01-31,280,380,Alumahan
2024-02-01,240,380,Alumahan
2024-02-02,300,380,Alumahan
2024-02-05,280,380,Alumahan
2024-02-06,280,380,Alumahan
2024-02-07,280,380,Alumahan
2024-02-08,250,380,Alumahan
2024-02-09,240,360,Alumahan
2024-02-12,260,380,Alumahan
